Year,agegrp,Births,Abortions,Abortions.corr,Total,Population,Value
1985,Under 20,8571.522111477681,2841,2933.620062017354,11505.142173495035,214679.5,53.592178915523064
1986,Under 20,8428.632530590607,2839,2931.554859580172,11360.187390170779,209766,54.156476217169505
1987,Under 20,8301.10457349432,2697,2784.9254865402336,11086.030060034554,205120.5,54.04642666156993
1988,Under 20,7764.724199341374,2812,2903.674626678212,10668.398826019586,197764.5,53.94496396481464
1989,Under 20,7500.058591415384,2823,2915.033240082714,10415.091831498099,188485,55.25687365837122
1990,Under 20,7367.81825012979,2779,2869.598786464705,10237.417036594496,179606,56.999304235908014
1991,Under 20,7007.141210758946,2851,2943.946074203265,9951.08728496221,170713.5,58.29115614735924
1992,Under 20,6380.030689294135,2624,2709.5455975830823,9089.576286877218,161649.5,56.230154048587956
1993,Under 20,5749.886753375069,2585,2669.274150058029,8419.160903433098,154791,54.390506576177536
1994,Under 20,5552.361682179198,2605,2689.9261744298515,8242.28785660905,151744.5,54.3168803917707
1995,Under 20,5714.064720632984,2481,2561.8836233245534,8275.948343957538,151615,54.58528736574572
1996,Under 20,5963.364615814367,2685,2772.5342719171404,8735.898887731508,152567,57.259426269976515
1997,Under 20,6002.182172734567,2720,2808.6753145678294,8810.857487302397,154469.5,57.039464019126086
1998,Under 20,5996.767537934194,2993,3090.5754472432036,9087.342985177398,156436.5,58.08965928780942
1999,Under 20,5887.773279472679,2886,2980.0871168539543,8867.860396326632,157060,56.46160955256993
2000,Under 20,5777.182550124369,2884,2978.0219144167722,8755.20446454114,157089.5,55.7338616810235
2001,Under 20,5483.068178208404,2998,3095.738453336159,8578.806631544563,156802.5,54.71090468292638
2002,Under 20,5396.466861707199,2926,3021.391165597599,8417.8580273048,156679,53.72677912997146
2003,Under 20,5399.392637128224,3103,3204.161581288226,8603.55421841645,157342.5,54.6804214908016
2004,Under 20,5443.122829449764,3218,3322.910721426204,8766.033550875967,158363.5,55.35387605651534
2005,Under 20,5478.453127085343,3323,3431.333849378271,8909.786976463614,158977,56.04450314488017
2006,Under 20,5648.3270548748205,3464,3576.930621199618,9225.257676074438,159575,57.81142206532626
2007,Under 20,5674.509999326468,3573,3689.4841540260495,9363.994153352516,161210,58.085690424617056
2008,Under 20,5406.805720103994,3498,3612.0390626317158,9018.844782735709,162540,55.48692495838384
2009,Under 20,5112.348731667985,3233,3338.3997397050707,8450.748471373056,163475,51.694439341630556
2010,Under 20,4725.63409614906,3095,3195.900771539497,7921.534867688557,163899,48.33180719643535
2011,Under 20,4359.410419817296,2730,2819.0013267537406,7178.411746571037,162046,44.298605004573005
2012,Under 20,3941.4870182688674,2516,2598.024665975242,6539.511684244109,158167,41.34561371363249
2013,Under 20,3525.2498885934738,2299,2373.9502015409707,5899.2000901344445,154347.5,38.22025034506192
2014,Under 20,3103.840080876676,2010,2075.528449368139,5179.368530244815,151516,34.1836408712269
2015,Under 20,2860.5760374609345,1948,2011.5071738154895,4872.083211276424,149213.5,32.65175879713581
